Title,PubDate,Author,,,,,,,,,,,,,,,,,,,,,
Inez,1887,Evans Augusta J.,,,,,,,,,,,,,,,,,,,,,
The crusade of the Excelsior,1887,Harte Bret,,,,,,,,,,,,,,,,,,,,,
Sally Dows,1887,Harte Bret,,,,,,,,,,,,,,,,,,,,,
A man of samples,1887,Maher William H,,,,,,,,,,,,,,,,,,,,,
The gates between,1887,Phelps Elizabeth Stuart,,,,,,,,,,,,,,,,,,,,,
Jim Cummings: or: The great Adams Express robbery,1887,Pinkerton Frank,,,,,,,,,,,,,,,,,,,,,
The earth trembled,1887,Roe Edward Payson,,,,,,,,,,,,,,,,,,,,,
What dreams may come,1888,Atherton Gertrude Franklin Horn,,,,,,,,,,,,,,,,,,,,,
Bonaventure,1888,Cable George Washington,,,,,,,,,,,,,,,,,,,,,
John Ward: preacher,1888,Deland Margaret,,,,,,,,,,,,,,,,,,,,,
The midnight queen,1888,Fleming May Agnes,,,,,,,,,,,,,,,,,,,,,
The Argonauts of North Liberty,1888,Harte Bret,,,,,,,,,,,,,,,,,,,,,
Annie Kilburn,1888,Howells William Dean,,,,,,,,,,,,,,,,,,,,,
The Aspern papers,1888,James Henry,,,,,,,,,,,,,,,,,,,,,
The Rose of Paradise,1888,Pyle Howard,,,,,,,,,,,,,,,,,,,,,
Miss Lou,1888,Roe Edward Payson,,,,,,,,,,,,,,,,,,,,,
Eden,1888,Saltus Edgar,,,,,,,,,,,,,,,,,,,,,
Standish of Standish,1889,Austin Jane G.,,,,,,,,,,,,,,,,,,,,,
The Philistines,1889,Bates Arlo,,,,,,,,,,,,,,,,,,,,,
Sara Crewe: or: What happened at Miss Minchin's,1889,Burnett Frances Hodgson,,,,,,,,,,,,,,,,,,,,,
Vagabondia,1889,Burnett Frances Hodgson,,,,,,,,,,,,,,,,,,,,,
Cressy,1889,Harte Bret,,,,,,,,,,,,,,,,,,,,,
Chita,1889,Hearn Lafcadio,,,,,,,,,,,,,,,,,,,,,
Three men in a boat,1889,Jerome Jerome K.,,,,,,,,,,,,,,,,,,,,,
Laramie,1889,King Charles,,,,,,,,,,,,,,,,,,,,,
Derrick Vaughan: novelist,1889,Lyall Edna,,,,,,,,,,,,,,,,,,,,,
The last American,1889,Mitchell John Ames,,,,,,,,,,,,,,,,,,,,,
A transient guest,1889,Saltus Edgar,,,,,,,,,,,,,,,,,,,,,
The pace that kills,1889,Saltus Edgar,,,,,,,,,,,,,,,,,,,,,
The right knock,1889,Van-Anderson Helen,,,,,,,,,,,,,,,,,,,,,
The bridge of the gods,1890,Balch Frederic Homer,,,,,,,,,,,,,,,,,,,,,
The delight makers,1890,Bandelier Adolph Francis Alphonse,,,,,,,,,,,,,,,,,,,,,
At fault,1890,Chopin Kate,,,,,,,,,,,,,,,,,,,,,
The witch of Prague,1890,Crawford F. Marion,,,,,,,,,,,,,,,,,,,,,
In the valley,1890,Frederic Harold,,,,,,,,,,,,,,,,,,,,,
The forsaken inn,1890,Green Anna Katharine,,,,,,,,,,,,,,,,,,,,,
All he knew,1890,Habberton John,,,,,,,,,,,,,,,,,,,,,
A ward of the Golden Gate,1890,Harte Bret,,,,,,,,,,,,,,,,,,,,,
A waif of the plains,1890,Harte Bret,,,,,,,,,,,,,,,,,,,,,
Over the teacups,1890,Holmes Oliver Wendell,,,,,,,,,,,,,,,,,,,,,
The tragic muse,1890,James Henry,,,,,,,,,,,,,,,,,,,,,
Sunset Pass: or: Running the gauntlet through Apache land,1890,King Charles,,,,,,,,,,,,,,,,,,,,,
Mizora,1890,Lane Mary E. Bradley,,,,,,,,,,,,,,,,,,,,,
With edge tools,1891,Chatfield-Taylor H. C.,,,,,,,,,,,,,,,,,,,,,
The faith doctor,1891,Eggleston Edward,,,,,,,,,,,,,,,,,,,,,
A first family of Tasajara,1891,Harte Bret,,,,,,,,,,,,,,,,,,,,,
The quality of mercy,1891,Howells William Dean,,,,,,,,,,,,,,,,,,,,,
Men of iron,1891,Pyle Howard,,,,,,,,,,,,,,,,,,,,,
Mary Magdalen,1891,Saltus Edgar,,,,,,,,,,,,,,,,,,,,,
Adopting an abandoned farm,1891,Sanborn Kate,,,,,,,,,,,,,,,,,,,,,
Colonel Carter of Cartersville,1891,Smith Francis Hopkinson,,,,,,,,,,,,,,,,,,,,,
The master of silence,1892,Bacheller Irving,,,,,,,,,,,,,,,,,,,,,
The goddess of Atvatabar,1892,Bradshaw William Richard,,,,,,,,,,,,,,,,,,,,,
Van Bibber and others,1892,Davis Richard Harding,,,,,,,,,,,,,,,,,,,,,
Fair to look upon,1892,Freeley Mary Belle,,,,,,,,,,,,,,,,,,,,,
A spoil of office,1892,Garland Hamlin,,,,,,,,,,,,,,,,,,,,,
A little Norsk: or: Ol' pap's Flaxen,1892,Garland Hamlin,,,,,,,,,,,,,,,,,,,,,
Lily Pearl and the mistress of Rosedale,1892,Glenwood Ida,,,,,,,,,,,,,,,,,,,,,
In Macao,1892,Gunnison Charles A.,,,,,,,,,,,,,,,,,,,,,
Daisy Miller,1892,James Henry,,,,,,,,,,,,,,,,,,,,,
The lesson of the master,1892,James Henry,,,,,,,,,,,,,,,,,,,,,
The little lady of Lagunitas,1892,Savage Richard,,,,,,,,,,,,,,,,,,,,,
The American claimant,1892,Twain Mark,,,,,,,,,,,,,,,,,,,,,
Coffee and repartee,1893,Bangs John Kendrick,,,,,,,,,,,,,,,,,,,,,
Toppleton's client : or: A spirit in exile,1893,Bangs John Kendrick,,,,,,,,,,,,,,,,,,,,,
The love affairs of an old maid,1893,Bell Lilian,,,,,,,,,,,,,,,,,,,,,
Old Kaskaskia,1893,Catherwood Mary Hartwell,,,,,,,,,,,,,,,,,,,,,
Donald and Dorothy,1893,Dodge Mary Mapes,,,,,,,,,,,,,,,,,,,,,
Duffels,1893,Eggleston Edward,,,,,,,,,,,,,,,,,,,,,
The wedge of gold,1893,Goodwin C. C.,,,,,,,,,,,,,,,,,,,,,
The opinions of a philosopher,1893,Grant Robert,,,,,,,,,,,,,,,,,,,,,
Susy: a story of the plains,1893,Harte Bret,,,,,,,,,,,,,,,,,,,,,
The coast of Bohemia,1893,Howells William Dean,,,,,,,,,,,,,,,,,,,,,
Foes in ambush,1893,King Charles,,,,,,,,,,,,,,,,,,,,,
A century too soon,1893,Musick John R.,,,,,,,,,,,,,,,,,,,,,
The witch of Salem: or: Credulity run mad,1893,Musick John R.,,,,,,,,,,,,,,,,,,,,,
Sustained honor,1893,Musick John R.,,,,,,,,,,,,,,,,,,,,,
Five little Peppers midway,1893,Lothrop Harriet Mulford Stone,,,,,,,,,,,,,,,,,,,,,
The adventures of Uncle Jeremiah and family at the great fair,1893,Stevens C. M.,,,,,,,,,,,,,,,,,,,,,
A Kentucky cardinal,1894,Allen James Lane,,,,,,,,,,,,,,,,,,,,,
A journey in other worlds,1894,Astor John Jacob,,,,,,,,,,,,,,,,,,,,,
The water ghost and others,1894,Bangs John Kendrick,,,,,,,,,,,,,,,,,,,,,
In the quarter,1894,Chambers Robert W.,,,,,,,,,,,,,,,,,,,,,
The upper berth,1894,Crawford F. Marion,,,,,,,,,,,,,,,,,,,,,
From the easy chair,1894,Curtis George William,,,,,,,,,,,,,,,,,,,,,
The honorable Peter Stirling and what people thought of him,1894,Ford Paul Leicester,,,,,,,,,,,,,,,,,,,,,
Peak and prairie,1894,Fuller Anna,,,,,,,,,,,,,,,,,,,,,
The beautiful eyes of Ysidria,1894,Gunnison Charles A.,,,,,,,,,,,,,,,,,,,,,
The land of the changing sun,1894,Harben Will N.,,,,,,,,,,,,,,,,,,,,,
Little Mr. Thimblefinger and his queer country,1894,Harris Joel Chandler,,,,,,,,,,,,,,,,,,,,,
